序號,圖號,編號,DGNID,UFID,97X座標,97Y座標,WGS84經度,WGS84緯度,型式,所在地區
21822,3349A,2,3349,70,297519.559,2773410.041,121.462798936353,25.0697118207618,地下式消防栓,新北市三重
21823,3350A,3,3350,67,297583.36,2773815.562,121.463445093175,25.0733708351553,地下式消防栓,新北市三重
21824,3350A,5,3350,1096,297464.241,2773860.312,121.462265894863,25.0737785132155,地上式消防栓,新北市三重
21825,3350A,6,3350,1104,297551.503,2773842.132,121.463130226766,25.0736116908084,地上式消防栓,新北市三重
21826,3350A,91,3350,1302,297393.307,2773857.818,121.461562705895,25.0737581855135,地下式消防栓,新北市三重
21827,3350A,92,3350,1304,297529.571,2773834.029,121.462912560033,25.0735392161247,地下式消防栓,新北市三重
21828,3350A,93,3350,1456,297578.833,2773833.442,121.463400828695,25.0735323933366,地下式消防栓,新北市三重
21829,3350B,2,3350,989,297418.635,2773504.832,121.461801809739,25.0705706959082,地下式消防栓,新北市三重
21830,3350B,3,3350,513,297505.734,2773729.931,121.462672755105,25.0726001705891,地下式消防栓,新北市三重
21831,3350B,4,3350,73,297583.667,2773699.131,121.463444180521,25.0723197030244,地下式消防栓,新北市三重
21832,3350B,5,3350,670,297506.323,2773628.061,121.46267513817,25.0716804842267,地下式消防栓,新北市三重
21833,3350B,7,3350,322,297506.658,2773536.059,121.462675338378,25.0708498925417,地下式消防栓,新北市三重
21834,3448A,1,3448,100,298317.309,2772834.615,121.470686192772,25.0644920988603,地下式消防栓,新北市三重
21835,3448A,3,3448,98,298336.821,2772784.053,121.470877838075,25.0640350190745,地下式消防栓,新北市三重
21836,3448A,4,3448,42,298304.775,2772899.586,121.470564204507,25.0650790416544,地下式消防栓,新北市三重
21837,3448A,5,3448,96,298277.325,2772871.565,121.470291171328,25.0648269339503,地下式消防栓,新北市三重
21838,3448A,7,3448,23,298368.652,2772898,121.471197259123,25.0650627157528,地下式消防栓,新北市三重
