序號,圖號,編號,DGNID,UFID,97X座標,97Y座標,WGS84經度,WGS84緯度,型式,所在地區
24507,3436B,2,3436,148,298283.357,2765141.539,121.470085016664,24.9950408222541,地下式消防栓,新北市中和
24508,3436B,3,3436,17,298386.955,2765222.479,121.471114018995,24.9957682982663,地下式消防栓,新北市中和
24509,3436B,86,3436,342,298332.833,2765215.312,121.470577649998,24.9957052915891,地下式消防栓,新北市中和
24510,3436B,89,3436,373,298353.807,2765149.324,121.470783145115,24.995108898353,地下式消防栓,新北市中和
24511,3438A,85,3438,107,298386.244,2766809.083,121.471161599901,25.0100920776124,地下式消防栓,新北市中和
24512,3439B,4,3439,153,298350.372,2766918.628,121.470809987386,25.0110821671547,地下式消防栓,新北市中和
24513,3439B,90,3439,697,298364.87,2766916.351,121.470953541328,25.0110611557974,地下式消防栓,新北市中和
24514,3532B,1,3532,28,298863.561,2762864.433,121.475753268877,24.9744649524313,地下式消防栓,新北市中和
24515,3533A,1,3533,13,298895.095,2763899.659,121.476101561243,24.9838099300598,地下式消防栓,新北市中和
24516,3533A,3,3533,14,298904.899,2763832.009,121.476196316385,24.9831988784733,地下式消防栓,新北市中和
24517,3534A,2,3534,348,298859.864,2764241.587,121.475764481425,24.9868979547722,地下式消防栓,新北市中和
24518,3534A,3,3534,264,299048.836,2764455.727,121.477643736615,24.9888252032979,地下式消防栓,新北市中和
24519,3534A,89,3534,412,299105.655,2764454.138,121.478206487532,24.9888090504442,地下式消防栓,新北市中和
24520,3534B,1,3534,11,298869.788,2764000.57,121.475854405168,24.9847217512438,地下式消防栓,新北市中和
24521,3534C,1,3534,282,298499.182,2764196.271,121.472190326941,24.9865002220381,地下式消防栓,新北市中和
24522,3534D,1,3534,296,298537.069,2764295.615,121.472569028544,24.9873959038025,地下式消防栓,新北市中和
24523,3534D,2,3534,233,298649.908,2764286.419,121.473686396826,24.9873093295016,地下式消防栓,新北市中和
24524,3534D,3,3534,208,298555.475,2764463.228,121.472757129173,24.9889085266428,地下式消防栓,新北市中和
24525,3535A,1,3535,125,298826.428,2764882.96,121.475455564536,24.9926892932914,地下式消防栓,新北市中和
24526,3535A,2,3535,140,298897.311,2764898.152,121.476158228912,24.9928242005943,地下式消防栓,新北市中和
24527,3535A,3,3535,400,298908.501,2764920.625,121.476269854058,24.993026730751,地下式消防栓,新北市中和
24528,3535B,1,3535,338,299116.927,2764511.633,121.478320147861,24.9893277531504,地下式消防栓,新北市中和
24529,3535B,2,3535,249,299186.383,2764565.917,121.47901002862,24.989815612972,地下式消防栓,新北市中和
24530,3535C,1,3535,290,298661.45,2764739.848,121.473816411551,24.9914024988508,地下式消防栓,新北市中和
24531,3535C,3,3535,263,298581.929,2764531.015,121.473021504696,24.9895196715575,地下式消防栓,新北市中和
24532,3535D,1,3535,58,298783.081,2764859.671,121.475025380021,24.9924804129001,地下式消防栓,新北市中和
24533,3535D,2,3535,342,298573.647,2765068.189,121.472958024775,24.9943695099494,地下式消防栓,新北市中和
24534,3535D,3,3535,433,298658.602,2764938.262,121.473795067037,24.9931938591704,地下式消防栓,新北市中和
24535,3536A,3,3536,24635,298943.306,2765437.492,121.476632614014,24.9976918693543,地上式消防栓,新北市中和
24536,3536A,5,3536,6868,298833.697,2765456.464,121.475547490383,24.9978666218384,地下式消防栓,新北市中和
24537,3536A,6,3536,7416,298825.386,2765569.532,121.475469089511,24.9988876554594,地下式消防栓,新北市中和
24538,3536A,7,3536,24643,299098.492,2765454.887,121.478170488218,24.9978439774274,地上式消防栓,新北市中和
