序號,圖號,編號,DGNID,UFID,97X座標,97Y座標,WGS84經度,WGS84緯度,型式,所在地區
5863,4246A,1,4246,2610,304781.176,2771493.257,121.534698838485,25.0521657192499,地下式消防栓,台北市中山區力行里
5864,4246A,2,4246,7287,304748.957,2771616.857,121.534384377751,25.0532827025883,地上式消防栓,台北市中山區力行里
5865,4246A,4,4246,10929,304525.173,2771545.007,121.532163801946,25.0526420182279,地下式消防栓,台北市中山區力行里
5866,4246A,8,4246,8118,304693.084,2771610.511,121.533830409337,25.0532274033273,地下式消防栓,台北市中山區力行里
5867,4246A,11,4246,5055,304648.797,2771414.829,121.533383866065,25.0514624045084,地下式消防栓,台北市中山區力行里
5868,4246A,13,4246,9936,304534.073,2771406.205,121.532246592875,25.0513886269366,地下式消防栓,台北市中山區力行里
5869,4246A,15,4246,9870,304606.078,2771532.474,121.532965104607,25.0525259982591,地下式消防栓,台北市中山區力行里
5870,4246A,20,4246,6873,304535.048,2771511.772,121.532260370459,25.0523416290114,地下式消防栓,台北市中山區力行里
5871,4246A,21,4246,5417,304746.638,2771570.513,121.53435958189,25.0528644015854,地下式消防栓,台北市中山區力行里
5872,4246A,22,4246,2549,304463.967,2771420.227,121.531552375034,25.0515177023937,地下式消防栓,台北市中山區力行里
5873,4246A,27,4246,3959,304437.895,2771569.356,121.531299799146,25.052864932186,地下式消防栓,台北市中山區力行里
5874,4246A,31,4246,4818,304551.312,2771417.584,121.5324178783,25.0514907419242,地下式消防栓,台北市中山區力行里
5875,4246A,40,4246,5751,304676.475,2771532.013,121.533662740418,25.0525193316076,地下式消防栓,台北市中山區力行里
5876,4246A,43,4246,1865,304588.294,2771567.984,121.532790245875,25.0528472072807,地下式消防栓,台北市中山區力行里
5877,4246A,49,4246,11998,304724.95,2771413.434,121.534138502316,25.0514470989297,地下式消防栓,台北市中山區力行里
5878,4246A,53,4246,2854,304765.098,2771609.395,121.534544048352,25.0532147616793,地下式消防栓,台北市中山區力行里
5879,4246A,54,4246,3597,304731.311,2771425.919,121.534202029485,25.0515595841673,地下式消防栓,台北市中山區力行里
5880,4246A,55,4246,10563,304525.602,2771456.836,121.532164616964,25.051846013762,地下式消防栓,台北市中山區力行里
5881,4246A,140,4246,22135,304426.753,2771620.686,121.531191375501,25.0533287235621,地下式消防栓,台北市中山區力行里
5882,4246A,141,4246,22148,304512.12,2771618.844,121.532037320154,25.0533090664659,地下式消防栓,台北市中山區力行里
5883,4246A,144,4246,22275,304585.346,2771619.036,121.532763022369,25.0533081986871,地下式消防栓,台北市中山區力行里
5884,4246A,146,4246,22434,304612.369,2771489.665,121.533025778969,25.0521393039634,地下式消防栓,台北市中山區力行里
5885,4246A,147,4246,22732,304735.977,2771518.101,121.534251877322,25.0523916173112,地下式消防栓,台北市中山區力行里
5886,4246A,148,4246,22731,304794.805,2771552.923,121.534836242421,25.0527038848373,地下式消防栓,台北市中山區力行里
5887,4246A,149,4246,23202,304721.994,2771457.926,121.534110948172,25.0518488685833,地下式消防栓,台北市中山區力行里
5888,4246A,150,4246,23403,304730.097,2771615.657,121.534197421839,25.0532725415642,地下式消防栓,台北市中山區力行里
5889,4246A,151,4246,23415,304546.144,2771428.009,121.532367068864,25.0515850401976,地下式消防栓,台北市中山區力行里
5890,4246A,152,4246,23420,304636.258,2771426.541,121.533260059564,25.0515685841187,地下式消防栓,台北市中山區力行里
5891,4246B,1,4246,2510,304533.781,2771324.242,121.532240504286,25.0506486924747,地下式消防栓,台北市中山區力行里
5892,4246B,10,4246,9989,304606.645,2771375.424,121.532964593559,25.0511081638484,地下式消防栓,台北市中山區力行里
5893,4246B,11,4246,2726,304706.809,2771368.009,121.533956945224,25.0510376580027,地下式消防栓,台北市中山區力行里
5894,4246B,16,4246,1225,304706.461,2771296.797,121.533950711857,25.0503947835024,地下式消防栓,台北市中山區力行里
5895,4246B,17,4246,23302,304516.816,2771267.287,121.532070159691,25.0501351168731,地上式消防栓,台北市中山區力行里
5896,4246B,23,4246,11913,304718.327,2771242.326,121.534066174761,25.0499026080602,地下式消防栓,台北市中山區力行里
5897,4246B,25,4246,6134,304523.768,2771244.649,121.532138172431,25.0499304989298,地下式消防栓,台北市中山區力行里
5898,4246B,27,4246,4573,304612.048,2771244.918,121.533013043942,25.0499297909086,地下式消防栓,台北市中山區力行里
