序號,圖號,編號,DGNID,UFID,97X座標,97Y座標,WGS84經度,WGS84緯度,型式,所在地區
8167,4143A,4,4143,11075,303620.441,2769624.679,121.523124087181,25.0353375085437,地下式消防栓,台北市中正區三愛里
8168,4143A,6,4143,7982,303741.806,2769709.508,121.524329937369,25.0360990915765,地下式消防栓,台北市中正區三愛里
8169,4143A,19,4143,6128,303742.827,2769794.702,121.524343323732,25.0368681720034,地下式消防栓,台北市中正區三愛里
8170,4143A,21,4143,12222,303709.473,2769623.919,121.524006268305,25.0353275393884,地下式消防栓,台北市中正區三愛里
8171,4143A,24,4143,5845,303701.453,2769766.453,121.523932264126,25.0366145910851,地下式消防栓,台北市中正區三愛里
8172,4143A,30,4143,7962,303679.856,2769851.7,121.523721526673,25.0373849400429,地下式消防栓,台北市中正區三愛里
8173,4143A,32,4143,12367,303606.727,2769818.67,121.522995621456,25.0370893031492,地下式消防栓,台北市中正區三愛里
8174,4143A,34,4143,13613,303746.037,2769897.251,121.524379067445,25.0377938536014,地下式消防栓,台北市中正區三愛里
8175,4143A,126,4143,21999,303636.338,2769801.034,121.523288363009,25.0369290555745,地下式消防栓,台北市中正區三愛里
8176,4143A,127,4143,21997,303676.944,2769809.738,121.523691063102,25.0370062163348,地下式消防栓,台北市中正區三愛里
8177,4143A,128,4143,22008,303620.15,2769767.911,121.523126687296,25.0366305917903,地下式消防栓,台北市中正區三愛里
8178,4143A,129,4143,22297,303703.44,2769673.983,121.523948407516,25.0357797190401,地下式消防栓,台北市中正區三愛里
8179,4143A,130,4143,22294,303608.939,2769676.748,121.523012107846,25.0358079794174,地下式消防栓,台北市中正區三愛里
8180,4143A,131,4143,22141,303663.373,2769714.339,121.523552931998,25.0361454450399,地下式消防栓,台北市中正區三愛里
8181,4143A,132,4143,22569,303710.967,2769887.297,121.524031173226,25.0377052165537,地下式消防栓,台北市中正區三愛里
8182,4143D,6,4143,25085,303592.139,2769623.679,121.522843606855,25.035329467615,地上式消防栓,台北市中正區三愛里
8183,4143D,8,4143,3825,303528.358,2769811.182,121.522218772558,25.0370244337633,地下式消防栓,台北市中正區三愛里
8184,4143D,10,4143,1698,303458.571,2769774.655,121.52152585543,25.0366971029072,地下式消防栓,台北市中正區三愛里
8185,4143D,18,4143,5718,303544.384,2769717.619,121.522373997971,25.0361792054289,地下式消防栓,台北市中正區三愛里
8186,4143D,19,4143,10692,303519.75,2769627.91,121.522126472187,25.0353701861493,地下式消防栓,台北市中正區三愛里
8187,4143D,32,4143,1731,303377.429,2769883.632,121.520725970534,25.0376837476686,地下式消防栓,台北市中正區三愛里
8188,4143D,35,4143,896,303563.191,2769780.629,121.522562765973,25.0367473933739,地下式消防栓,台北市中正區三愛里
8189,4143D,37,4143,11634,303357.288,2769652.732,121.520517594985,25.0355999219488,地下式消防栓,台北市中正區三愛里
8190,4143D,39,4143,4021,303421.848,2769698.361,121.521159056315,25.0360096106089,地下式消防栓,台北市中正區三愛里
8191,4143D,41,4143,3501,303532.762,2769897.384,121.52226570703,25.0378024967297,地下式消防栓,台北市中正區三愛里
8192,4143D,42,4143,841,303381.089,2769720.179,121.520756008109,25.0362079955155,地下式消防栓,台北市中正區三愛里
8193,4143D,46,4143,11777,303453.561,2769833.776,121.521478467628,25.0372310110938,地下式消防栓,台北市中正區三愛里
8194,4143D,47,4143,3412,303408.185,2769765.884,121.521026244826,25.036619671175,地下式消防栓,台北市中正區三愛里
8195,4143D,48,4143,7758,303350.367,2769653.529,121.520449045579,25.0356073573118,地下式消防栓,台北市中正區三愛里
8196,4143D,49,4143,8831,303572.702,2769858.778,121.522660000138,25.0374525772033,地下式消防栓,台北市中正區三愛里
8197,4143D,53,4143,11196,303318.854,2769687.964,121.520138095976,25.0359193237632,地下式消防栓,台北市中正區三愛里
8198,4143D,56,4143,1726,303373.599,2769823.336,121.520685720845,25.0371395389493,地下式消防栓,台北市中正區三愛里
8199,4143D,64,4143,2402,303319.5,2769791.604,121.520148442493,25.0368549452942,地下式消防栓,台北市中正區三愛里
8200,4143D,67,4143,10501,303484.853,2769719.811,121.521784190049,25.0362010667489,地下式消防栓,台北市中正區三愛里
8201,4143D,68,4143,8182,303498.15,2769863.582,121.521921441594,25.0374985432616,地下式消防栓,台北市中正區三愛里
8202,4143D,152,4143,22291,303548.697,2769677.186,121.522415189534,25.0358140332037,地下式消防栓,台北市中正區三愛里
8203,4143D,153,4143,22013,303596.579,2769746.125,121.522892288129,25.036434733658,地下式消防栓,台北市中正區三愛里
8204,4144B,3,4144,12995,303703.056,2769911.426,121.523953707637,25.0379233252178,地下式消防栓,台北市中正區三愛里
8205,4144B,4,4144,4991,303621.659,2770025.065,121.523151486327,25.0389520792869,地下式消防栓,台北市中正區三愛里
8206,4144B,10,4144,5276,303746.526,2770095.806,121.524391533939,25.0395863548119,地下式消防栓,台北市中正區三愛里
8207,4144B,13,4144,9679,303689.992,2769979.055,121.523826847799,25.0385343239586,地下式消防栓,台北市中正區三愛里
8208,4144B,20,4144,2745,303600.663,2769951.2,121.522940605428,25.0382859717058,地下式消防栓,台北市中正區三愛里
8209,4144B,23,4144,5934,303685.798,2770039.606,121.523787610162,25.0390811138745,地下式消防栓,台北市中正區三愛里
8210,4144B,24,4144,12919,303713.991,2770094.666,121.524069092674,25.039577200485,地下式消防栓,台北市中正區三愛里
8211,4144B,33,4144,12929,303672.317,2769976.921,121.523651621448,25.038515675887,地下式消防栓,台北市中正區三愛里
8212,4144B,35,4144,5435,303661.487,2769905.79,121.523541579472,25.0378738962003,地下式消防栓,台北市中正區三愛里
8213,4144B,36,4144,3410,303746.698,2769999.177,121.524389529411,25.0387139998722,地下式消防栓,台北市中正區三愛里
8214,4144B,37,4144,2712,303607.303,2769996.33,121.523008129789,25.0386931656533,地下式消防栓,台北市中正區三愛里
8215,4144B,119,4144,22965,303644.505,2769912.929,121.52337357633,25.0379389385642,地下式消防栓,台北市中正區三愛里
8216,4144C,1,4144,14123,303591.554,2769942.953,121.522850027376,25.0382118368853,地下式消防栓,台北市中正區三愛里
8217,4144C,9,4144,6991,303379.51,2769987.026,121.520750532215,25.0386170981863,地下式消防栓,台北市中正區三愛里
8218,4144C,13,4144,11072,303596.207,2770036.25,121.522899705368,25.0390539431509,地下式消防栓,台北市中正區三愛里
8219,4144C,19,4144,4212,303561.789,2770103.912,121.522561238133,25.0396659832064,地下式消防栓,台北市中正區三愛里
8220,4144C,21,4144,13542,303417.071,2770092.097,121.521126738735,25.0395643556551,地下式消防栓,台北市中正區三愛里
8221,4144C,31,4144,11379,303438.093,2769958.071,121.521329936825,25.0383536621373,地下式消防栓,台北市中正區三愛里
8222,4144C,47,4144,1033,303436.2,2769903.875,121.5213091109,25.0378644560658,地下式消防栓,台北市中正區三愛里
8223,4144C,137,4144,22284,303526.975,2770046.113,121.522214047765,25.039145397034,地下式消防栓,台北市中正區三愛里
8224,4144C,138,4144,22292,303456.247,2770057.922,121.521513639162,25.0392544679356,地下式消防栓,台北市中正區三愛里
8225,4144C,139,4144,22826,303507.262,2769927.855,121.522014188862,25.0380784713248,地下式消防栓,台北市中正區三愛里
8226,4144C,140,4144,22836,303522.962,2769957.589,121.522170898679,25.0383463579802,地下式消防栓,台北市中正區三愛里
