序號,圖號,編號,DGNID,UFID,97X座標,97Y座標,WGS84經度,WGS84緯度,型式,所在地區
17799,4542A,1,4542,14213,307060.103,2769193.971,121.557189725306,25.0313252919124,地上式消防栓,台北市信義區三張里
17800,4542A,2,4542,13659,307041.304,2769002.244,121.556995641175,25.0295951211251,地下式消防栓,台北市信義區三張里
17801,4542A,7,4542,13863,307166.94,2769004.301,121.558240576318,25.0296090212004,地下式消防栓,台北市信義區三張里
17802,4542A,9,4542,7730,307110.207,2769176.714,121.557685478339,25.0311676376133,地下式消防栓,台北市信義區三張里
17803,4542A,10,4542,12143,307008.772,2769112.343,121.556677785468,25.0305902782182,地下式消防栓,台北市信義區三張里
17804,4542A,15,4542,10162,307103.197,2769036.193,121.557610286529,25.0298993058428,地下式消防栓,台北市信義區三張里
17805,4542A,17,4542,6818,307082.503,2769031.286,121.557405041568,25.0298557756126,地下式消防栓,台北市信義區三張里
17806,4542A,19,4542,616,307041.748,2769087.508,121.557003515262,25.0303648492288,地下式消防栓,台北市信義區三張里
17807,4542A,22,4542,13586,307135.26,2769222.942,121.557935603724,25.0315840420283,地下式消防栓,台北市信義區三張里
17808,4542A,23,4542,14248,307058.501,2769287.772,121.557177676002,25.0321721659327,地上式消防栓,台北市信義區三張里
17809,4542A,27,4542,9204,307160.876,2769285.079,121.558191959137,25.0321440478929,地下式消防栓,台北市信義區三張里
17810,4542A,29,4542,2285,306964.42,2769021.996,121.556234647803,25.0297762905989,地下式消防栓,台北市信義區三張里
17811,4542A,32,4542,921,306908.453,2769036.757,121.555680703791,25.0299116238738,地下式消防栓,台北市信義區三張里
17812,4542A,33,4542,650,307180.627,2769100.614,121.558380127271,25.0304780041186,地下式消防栓,台北市信義區三張里
17813,4542A,36,4542,14262,307127.161,2769066.757,121.557848979364,25.0301743398903,地上式消防栓,台北市信義區三張里
17814,4542A,37,4542,14269,307029.977,2769119.219,121.556888174882,25.0306515661578,地上式消防栓,台北市信義區三張里
17815,4542A,38,4542,5895,306966.41,2769086.464,121.556256989296,25.030358219764,地下式消防栓,台北市信義區三張里
17816,4542A,40,4542,14283,307102.287,2769277.934,121.557611132668,25.032081723583,地上式消防栓,台北市信義區三張里
17817,4542A,122,4542,14626,307080.62,2769032.82,121.557386446578,25.0298696941921,地下式消防栓,台北市信義區三張里
