序號,圖號,編號,DGNID,UFID,97X座標,97Y座標,WGS84經度,WGS84緯度,型式,所在地區
9702,4953A,1,4953,5634,310383.07,2775665.98,121.590395235171,25.0896255006649,地下式消防栓,台北市內湖區大湖里
9703,4953A,5,4953,1604,310332.129,2775649.889,121.589889552183,25.0894822451488,地下式消防栓,台北市內湖區大湖里
9704,4953A,8,4953,1481,310391.458,2775657.029,121.590477999058,25.0895443632579,地下式消防栓,台北市內湖區大湖里
9705,4953A,9,4953,3308,310336.763,2775651.321,121.589935551722,25.0894949901156,地下式消防栓,台北市內湖區大湖里
9706,4953A,10,4953,6317,310330.266,2775699.026,121.589873210383,25.0899259104138,地下式消防栓,台北市內湖區大湖里
9707,4953A,11,4953,6725,310306.503,2775685.221,121.589637046029,25.0898022199533,地下式消防栓,台北市內湖區大湖里
9708,4953A,12,4953,5929,310367.413,2775633.684,121.590238626255,25.0893345610525,地下式消防栓,台北市內湖區大湖里
9709,5052A,4,5052,2472,311198.998,2775000.973,121.598454464603,25.0835896501687,地下式消防栓,台北市內湖區大湖里
9710,5052A,5,5052,2499,311156.248,2775237.685,121.598041081255,25.0857283108164,地下式消防栓,台北市內湖區大湖里
9711,5052A,7,5052,2926,310806.791,2775225.761,121.594576449085,25.0856345852235,地下式消防栓,台北市內湖區大湖里
9712,5052A,11,5052,412,310863.027,2775190.272,121.595132358182,25.0853119683133,地下式消防栓,台北市內湖區大湖里
9713,5052A,13,5052,3368,310886.208,2775276.096,121.595365894972,25.0860858356346,地下式消防栓,台北市內湖區大湖里
9714,5052A,14,5052,449,311003.908,2775117.534,121.596525702033,25.0846497079695,地下式消防栓,台北市內湖區大湖里
9715,5052A,19,5052,6750,311143.522,2775059.858,121.597907131806,25.0841234597953,地上式消防栓,台北市內湖區大湖里
9716,5052A,22,5052,3343,310941.919,2775125.603,121.595911572935,25.0847250208504,地下式消防栓,台北市內湖區大湖里
9717,5052A,23,5052,2955,310833.282,2775157.432,121.594836068809,25.0850166824334,地下式消防栓,台北市內湖區大湖里
9718,5052A,107,5052,6618,310989.852,2775119.39,121.596386449541,25.0846670233036,地下式消防栓,台北市內湖區大湖里
9719,5052B,1,5052,2889,311199.131,2774985.189,121.598455090189,25.0834471524608,地上式消防栓,台北市內湖區大湖里
9720,5052D,27,5052,2820,310757.73,2775267.379,121.594091928932,25.0860122458404,地下式消防栓,台北市內湖區大湖里
9721,5052D,35,5052,269,310754.364,2775297.946,121.59405989418,25.0862883276495,地下式消防栓,台北市內湖區大湖里
9722,5053A,1,5053,237,310955.995,2775621.034,121.596072767071,25.0891970368783,地下式消防栓,台北市內湖區大湖里
9723,5053A,3,5053,1670,310905.738,2775674.778,121.59557691153,25.0896842191856,地下式消防栓,台北市內湖區大湖里
9724,5053A,4,5053,3408,310895.964,2775603.356,121.595476900165,25.0890398355731,地下式消防栓,台北市內湖區大湖里
9725,5053B,1,5053,171,310821.723,2775301.233,121.594727759946,25.0863153269493,地下式消防栓,台北市內湖區大湖里
9726,5053B,3,5053,4385,310844.452,2775485.362,121.594961106017,25.0879766757697,地下式消防栓,台北市內湖區大湖里
9727,5053B,7,5053,4089,310952.315,2775547.049,121.59603305175,25.088529273096,地下式消防栓,台北市內湖區大湖里
9728,5053B,8,5053,495,310905.484,2775431.653,121.595563771254,25.0874893827975,地下式消防栓,台北市內湖區大湖里
9729,5053B,9,5053,4180,310825.138,2775553.877,121.594772635269,25.0885959726148,地下式消防栓,台北市內湖區大湖里
9730,5053B,10,5053,2640,310874.943,2775337.947,121.595256927092,25.0866446527627,地下式消防栓,台北市內湖區大湖里
9731,5053B,12,5053,303,311034.393,2775564.439,121.596847457877,25.0886829933103,地下式消防栓,台北市內湖區大湖里
9732,5053B,15,5053,2848,310988.542,2775495.492,121.596389916798,25.0880623918221,地下式消防栓,台北市內湖區大湖里
9733,5053B,98,5053,10292,310808.568,2775379.742,121.59460078009,25.0870246013138,地下式消防栓,台北市內湖區大湖里
9734,5053B,99,5053,10296,310904.228,2775501.735,121.595554382293,25.0881221083423,地下式消防栓,台北市內湖區大湖里
9735,5053C,3,5053,1915,310738.591,2775379.878,121.593907107514,25.0870286070357,地下式消防栓,台北市內湖區大湖里
9736,5053C,8,5053,1495,310632.821,2775536.948,121.592865445653,25.0884507730186,地下式消防栓,台北市內湖區大湖里
9737,5053C,9,5053,1939,310589.373,2775512.273,121.592433670303,25.0882297359568,地下式消防栓,台北市內湖區大湖里
9738,5053C,12,5053,1331,310747.621,2775449.175,121.593999640946,25.0876538378302,地下式消防栓,台北市內湖區大湖里
9739,5053C,14,5053,5,310460.174,2775557.037,121.591154855216,25.0886389578063,地下式消防栓,台北市內湖區大湖里
9740,5053C,17,5053,249,310730.375,2775438.521,121.593828217226,25.0875583415035,地下式消防栓,台北市內湖區大湖里
9741,5053C,18,5053,1525,310734.286,2775549.211,121.593871809165,25.0885574568914,地下式消防栓,台北市內湖區大湖里
9742,5053C,26,5053,3192,310627.133,2775386.956,121.592802537497,25.0870969227492,地下式消防栓,台北市內湖區大湖里
9743,5053C,28,5053,3719,310491.975,2775526.843,121.591468791122,25.08836512058,地下式消防栓,台北市內湖區大湖里
9744,5053C,113,5053,10168,310666.201,2775585.539,121.593198458362,25.0888881130931,地下式消防栓,台北市內湖區大湖里
9745,5053C,114,5053,10175,310683.827,2775494.787,121.593369236313,25.0880681371717,地下式消防栓,台北市內湖區大湖里
9746,5053D,1,5053,2266,310488.906,2775759.637,121.591448468821,25.0904668250652,地下式消防栓,台北市內湖區大湖里
9747,5053D,2,5053,480,310530.4,2775850.273,121.591863744181,25.0912834148669,地下式消防栓,台北市內湖區大湖里
9748,5053D,3,5053,354,310534.754,2775773.827,121.59190358688,25.0905931149984,地下式消防栓,台北市內湖區大湖里
9749,5053D,4,5053,10281,310452.227,2775675.497,121.591081212657,25.0897086874022,地上式消防栓,台北市內湖區大湖里
9750,5053D,6,5053,3245,310554.558,2775689.673,121.592096253111,25.0898326188368,地下式消防栓,台北市內湖區大湖里
9751,5053D,7,5053,4354,310457.717,2775798.633,121.591140976267,25.0908200994808,地下式消防栓,台北市內湖區大湖里
9752,5053D,8,5053,2892,310475.447,2775867.416,121.591319722468,25.0914403479727,地下式消防栓,台北市內湖區大湖里
9753,5053D,9,5053,1662,310720.552,2775621.573,121.593738814879,25.089211260454,地下式消防栓,台北市內湖區大湖里
9754,5053D,10,5053,1008,310771.076,2775656.413,121.594241184524,25.0895237787106,地下式消防栓,台北市內湖區大湖里
9755,5053D,11,5053,575,310712.744,2775689.498,121.59366437151,25.0898247731606,地下式消防栓,台北市內湖區大湖里
9756,5053D,12,5053,503,310605.047,2775749.576,121.592599363962,25.0903714040133,地下式消防栓,台北市內湖區大湖里
9757,5054C,1,5054,6,310533.121,2775918.55,121.59189368333,25.0918996880263,地下式消防栓,台北市內湖區大湖里
9758,5151D,2,5151,3483,311247.638,2774589.99,121.598918564812,25.0798774947478,地下式消防栓,台北市內湖區大湖里
9759,5152C,1,5152,51,311266.52,2774743.706,121.599112483539,25.0812644336497,地上式消防栓,台北市內湖區大湖里
9760,5152C,2,5152,59,311232.557,2774923.055,121.598783701883,25.08288489208,地上式消防栓,台北市內湖區大湖里
9761,5152C,4,5152,13,311419.365,2774923.159,121.600635460621,25.082878348084,地下式消防栓,台北市內湖區大湖里
9762,5152C,87,5152,43,311267.421,2774794.497,121.599123646303,25.0817229209214,地上式消防栓,台北市內湖區大湖里
9763,5149A,1,5149,259,311760.323,2773328.607,121.603944631456,25.0684695765154,地下式消防栓,台北市內湖區五分里
