序號,圖號,編號,DGNID,UFID,97X座標,97Y座標,WGS84經度,WGS84緯度,型式,所在地區
14318,3359A,12,3359,5780,297528.672,2779490.741,121.463095875387,25.1246070625056,地下式消防栓,台北市北投區一德里
14319,3360A,1,3360,3216,297249.244,2780061.571,121.460344324389,25.1297690300833,地下式消防栓,台北市北投區一德里
14320,3360A,2,3360,1067,297342.78,2779907.058,121.461266646283,25.1283712348006,地下式消防栓,台北市北投區一德里
14321,3360A,3,3360,659,297218.729,2779914.159,121.460036734888,25.1284391644961,地下式消防栓,台北市北投區一德里
14322,3360A,5,3360,2268,297572.828,2779802.587,121.463544357142,25.1274209751978,地下式消防栓,台北市北投區一德里
14323,3360A,6,3360,3098,297537.407,2779985.496,121.463199334213,25.1290733375481,地下式消防栓,台北市北投區一德里
14324,3360A,7,3360,3223,297352.302,2779881.225,121.461360195257,25.1281377259157,地下式消防栓,台北市北投區一德里
14325,3360A,8,3360,1903,297239.933,2780022.08,121.460250654958,25.1294128002643,地下式消防栓,台北市北投區一德里
14326,3360A,9,3360,66,297560.195,2779811.035,121.463419370756,25.1274976337179,地下式消防栓,台北市北投區一德里
14327,3360A,10,3360,1092,297583.254,2779894.89,121.463650890846,25.1282539440208,地下式消防栓,台北市北投區一德里
14328,3360A,11,3360,1116,297389.841,2779830.81,121.461730739162,25.1276814304981,地下式消防栓,台北市北投區一德里
14329,3360A,12,3360,2966,297296.775,2780045.475,121.460815125656,25.1296222539554,地下式消防栓,台北市北投區一德里
14330,3360A,14,3360,1633,297570.599,2779895.109,121.4635254052,25.128256313626,地下式消防栓,台北市北投區一德里
14331,3360A,15,3360,1141,297493.742,2780058.315,121.462768804705,25.1297320848356,地下式消防栓,台北市北投區一德里
14332,3360A,17,3360,2068,297262.496,2780082.628,121.460476451969,25.1299587200719,地下式消防栓,台北市北投區一德里
14333,3360A,18,3360,2479,297284.819,2779847.621,121.460689863818,25.1278364374387,地下式消防栓,台北市北投區一德里
14334,3360A,20,3360,64,297206.576,2780000.753,121.459919146611,25.1292212913587,地下式消防栓,台北市北投區一德里
14335,3360A,21,3360,1070,297259.348,2780020.987,121.460443148413,25.1294023348775,地下式消防栓,台北市北投區一德里
14336,3360A,22,3360,761,297313.499,2780089.414,121.460982459548,25.1300184103678,地下式消防栓,台北市北投區一德里
14337,3360A,104,3360,3758,297400.553,2779801.834,121.461835980614,25.1274195101932,地上式消防栓,台北市北投區一德里
14338,3360B,1,3360,964,297420.706,2779506.672,121.462025804731,25.1247542252378,地下式消防栓,台北市北投區一德里
14339,3360B,2,3360,1803,297584.052,2779740.65,121.4636535486,25.1268614727167,地下式消防栓,台北市北投區一德里
14340,3360B,4,3360,2010,297330.338,2779511.113,121.461129847637,25.1247971081082,地下式消防栓,台北市北投區一德里
14341,3360B,5,3360,3674,297295.847,2779560.534,121.460789501051,25.1252443345236,地上式消防栓,台北市北投區一德里
14342,3360B,6,3360,3665,297301.917,2779654.81,121.460852885329,25.1260952520166,地上式消防栓,台北市北投區一德里
14343,3360B,8,3360,1993,297550.934,2779549.623,121.463318634261,25.1251379473035,地下式消防栓,台北市北投區一德里
14344,3360B,9,3360,3673,297334.23,2779745.985,121.461176401105,25.1269173647037,地上式消防栓,台北市北投區一德里
14345,3360B,13,3360,1526,297555.741,2779610.749,121.463368382911,25.1256896312635,地下式消防栓,台北市北投區一德里
14346,3360B,14,3360,3675,297295.11,2779684.995,121.460786407082,25.1263679659147,地上式消防栓,台北市北投區一德里
14347,3360B,16,3360,1174,297500.035,2779763.438,121.46282117981,25.127069801908,地上式消防栓,台北市北投區一德里
14348,3360B,18,3360,229,297565.047,2779717.266,121.463464291522,25.1266509562226,地下式消防栓,台北市北投區一德里
14349,3360B,19,3360,2888,297218.137,2779680.309,121.460022958506,25.1263280325604,地下式消防栓,台北市北投區一德里
14350,3360B,20,3360,520,297535.372,2779523.117,121.463163415734,25.1248991388333,地下式消防栓,台北市北投區一德里
14351,3360B,102,3360,3678,297286.067,2779586.872,121.460693411795,25.1254824101134,地上式消防栓,台北市北投區一德里
14352,3360B,103,3360,3677,297333.512,2779764.252,121.461169900223,25.1270822975932,地上式消防栓,台北市北投區一德里
14353,3360C,2,3360,2240,296961.567,2779625.362,121.457476877042,25.1258398563855,地下式消防栓,台北市北投區一德里
14354,3360C,3,3360,1947,297024.028,2779784.88,121.458101628941,25.1272780400107,地下式消防栓,台北市北投區一德里
14355,3360C,4,3360,1920,296944.943,2779720.62,121.457315229756,25.1267003353508,地下式消防栓,台北市北投區一德里
14356,3360C,5,3360,2634,297114.849,2779533.491,121.458993768149,25.1250057643387,地下式消防栓,台北市北投區一德里
14357,3360C,6,3360,1299,297004.765,2779716.667,121.457908313642,25.1266628169896,地下式消防栓,台北市北投區一德里
14358,3360C,9,3360,1275,297070.982,2779620.39,121.458561701126,25.1257916175143,地下式消防栓,台北市北投區一德里
14359,3360C,11,3360,1232,296969.057,2779730.932,121.457554699773,25.1267926920545,地下式消防栓,台北市北投區一德里
14360,3360C,12,3360,2951,297056.437,2779582.749,121.45841620067,25.1254522482154,地下式消防栓,台北市北投區一德里
14361,3360C,15,3360,1212,296975.494,2779545.192,121.457612285448,25.1251156712216,地下式消防栓,台北市北投區一德里
14362,3360C,16,3360,3135,297059.833,2779740.36,121.458455186163,25.1268750246124,地下式消防栓,台北市北投區一德里
14363,3360C,18,3360,1226,296890.392,2779636.387,121.456771454568,25.1259415645568,地下式消防栓,台北市北投區一德里
14364,3360C,19,3360,2440,297191.295,2779529.191,121.459751678826,25.1249645955248,地下式消防栓,台北市北投區一德里
14365,3360C,20,3360,3067,297090.246,2779666.734,121.458754290905,25.1262094107576,地下式消防栓,台北市北投區一德里
14366,3360C,21,3360,2914,296906.12,2779566.389,121.456925067943,25.1253091557459,地下式消防栓,台北市北投區一德里
14367,3360C,23,3360,1680,296964.519,2779594.795,121.457505122311,25.1255638132264,地下式消防栓,台北市北投區一德里
14368,3360D,1,3360,1405,297176.128,2780020.596,121.459617877259,25.1294013665382,地下式消防栓,台北市北投區一德里
14369,3360D,3,3360,1828,297155.423,2779847.754,121.459406718628,25.1278416208932,地下式消防栓,台北市北投區一德里
14370,3360D,4,3360,854,297108.831,2779901.318,121.45894649771,25.1283266171633,地下式消防栓,台北市北投區一德里
14371,3360D,5,3360,2912,297012.347,2779917.658,121.457990264377,25.1284770909687,地下式消防栓,台北市北投區一德里
14372,3360D,7,3360,477,297052.448,2779934.688,121.458388500046,25.1286296050162,地下式消防栓,台北市北投區一德里
14373,3360D,10,3360,375,296969.597,2779860.245,121.457564402902,25.127960087348,地下式消防栓,台北市北投區一德里
14374,3360D,11,3360,1752,297148.042,2779934.168,121.459336442394,25.1286219757151,地下式消防栓,台北市北投區一德里
14375,3360D,12,3360,2271,297103.552,2779978.13,121.458896739088,25.1290202223289,地下式消防栓,台北市北投區一德里
14376,3360D,13,3360,937,297128.499,2779844.151,121.459139606367,25.1278099210551,地下式消防栓,台北市北投區一德里
14377,3360D,14,3360,2844,297182.339,2779913.423,121.459675848431,25.128433639666,地下式消防栓,台北市北投區一德里
14378,3360D,15,3360,2610,297136.98,2780016.18,121.459229513835,25.1293627031902,地下式消防栓,台北市北投區一德里
14379,3360D,16,3360,2627,297135.599,2779854.283,121.459210355128,25.1279011725715,地下式消防栓,台北市北投區一德里
14380,3360D,17,3360,2720,296946.614,2779842.523,121.457335897054,25.1278008001092,地下式消防栓,台北市北投區一德里
14381,3360D,100,3360,3600,297073.944,2779970.787,121.458602882297,25.1289548400125,地下式消防栓,台北市北投區一德里
14382,3361B,2,3361,580,297437.856,2780162.153,121.462218132945,25.1306712419016,地下式消防栓,台北市北投區一德里
14383,3361B,3,3361,325,297525.271,2780310.653,121.463090054244,25.1320091622384,地下式消防栓,台北市北投區一德里
14384,3361B,7,3361,263,297568.737,2780275.188,121.463519889013,25.1316876442493,地下式消防栓,台北市北投區一德里
14385,3361B,9,3361,149,297474.038,2780173.273,121.46257731637,25.1307705114424,地下式消防栓,台北市北投區一德里
14386,3361B,10,3361,2,297232.656,2780125.015,121.460181973485,25.1303423002149,地下式消防栓,台北市北投區一德里
14387,3361B,11,3361,387,297332.648,2780115.003,121.461173220453,25.1302488317579,地下式消防栓,台北市北投區一德里
14388,3361B,13,3361,147,297368.017,2780113.25,121.46152390292,25.1302319142223,地下式消防栓,台北市北投區一德里
14389,3361B,15,3361,306,297504.628,2780218.125,121.462882193847,25.1311744786624,地下式消防栓,台北市北投區一德里
14390,3361B,18,3361,643,297453.252,2780245.6,121.462373646129,25.1314241075454,地下式消防栓,台北市北投區一德里
14391,3361B,20,3361,198,297592.036,2780277.702,121.463751025329,25.1317096172752,地下式消防栓,台北市北投區一德里
14392,3361B,21,3361,1080,297532.336,2780224.084,121.463157169206,25.1312274167931,地上式消防栓,台北市北投區一德里
14393,3361C,1,3361,829,297167.971,2780170.486,121.459542050307,25.1307547933442,地下式消防栓,台北市北投區一德里
14394,3459D,2,3459,32,297830.021,2779471.76,121.466083458654,25.1244263401391,地下式消防栓,台北市北投區一德里
14395,3460C,1,3460,197,297757.516,2779761.928,121.465374409535,25.1270481752524,地下式消防栓,台北市北投區一德里
14396,3460C,2,3460,113,297705.866,2779739.479,121.464861461367,25.12684711762,地下式消防栓,台北市北投區一德里
14397,3460D,1,3460,89,297750.03,2779881.841,121.46530427593,25.1281309576055,地下式消防栓,台北市北投區一德里
14398,3460D,2,3460,209,297758.943,2779827.609,121.465390806587,25.1276410850615,地下式消防栓,台北市北投區一德里
14399,3460D,3,3460,39,297638.154,2779888.802,121.464195098103,25.1281972787772,地下式消防栓,台北市北投區一德里
14400,3460D,4,3460,16,297605.115,2779979.1,121.463870545943,25.1290134958914,地下式消防栓,台北市北投區一德里
14401,3460D,5,3460,22,297600.202,2779998.404,121.463822484006,25.1291879208115,地下式消防栓,台北市北投區一德里
14402,3460D,7,3460,101,297644.867,2780066.771,121.464267739927,25.1298037368312,地下式消防栓,台北市北投區一德里
14403,3460D,8,3460,138,297626.483,2780018.912,121.464083800584,25.1293722468786,地下式消防栓,台北市北投區一德里
14404,3460D,9,3460,3,297672.093,2780079.611,121.464538167887,25.1299188076234,地下式消防栓,台北市北投區一德里
14405,3461A,1,3461,1621,298008.591,2780644.54,121.46789451816,25.1350083656053,地上式消防栓,台北市北投區一德里
14406,3461A,2,3461,696,298024.158,2780678.579,121.468050067705,25.1353151745593,地下式消防栓,台北市北投區一德里
14407,3461A,3,3461,353,298025.842,2780680.093,121.468066820111,25.1353287898626,地下式消防栓,台北市北投區一德里
14408,3461C,1,3461,17,297695.669,2780389.523,121.464782549382,25.1327158936597,地下式消防栓,台北市北投區一德里
14409,3461C,2,3461,258,297896.664,2780274.134,121.466771825787,25.1316679222105,地下式消防栓,台北市北投區一德里
14410,3461C,3,3461,522,297635.38,2780163.804,121.464176971487,25.1306800248078,地下式消防栓,台北市北投區一德里
14411,3461C,4,3461,1628,297668.642,2780344.995,121.464513006466,25.1323147448338,地上式消防栓,台北市北投區一德里
14412,3461C,5,3461,509,297632.47,2780333.019,121.464153886983,25.1322077519977,地下式消防栓,台北市北投區一德里
14413,3461C,6,3461,326,297831.295,2780336.229,121.466125704902,25.1322305426961,地下式消防栓,台北市北投區一德里
14414,3461C,7,3461,1635,297651.961,2780355.134,121.464347930214,25.1324067959533,地上式消防栓,台北市北投區一德里
14415,3461C,8,3461,121,297724.339,2780145.378,121.465058519445,25.1305109132131,地下式消防栓,台北市北投區一德里
14416,3461C,11,3461,632,297721.111,2780163.775,121.465027137255,25.130677097836,地下式消防栓,台北市北投區一德里
14417,3461C,12,3461,113,297682.372,2780114.046,121.464641276764,25.1302293599402,地下式消防栓,台北市北投區一德里
14418,3461D,1,3461,8,297895.671,2780562.62,121.466771876749,25.1342723415909,地下式消防栓,台北市北投區一德里
14419,3461D,5,3461,116,297960.971,2780621.581,121.467421480562,25.1348025872267,地下式消防栓,台北市北投區一德里
14420,3461D,6,3461,1642,297806.503,2780466.746,121.465884317228,25.133409594823,地上式消防栓,台北市北投區一德里
14421,3461D,8,3461,1649,297948.781,2780592.196,121.467299582777,25.1345376872358,地上式消防栓,台北市北投區一德里
14422,3461D,10,3461,645,297759.99,2780446.124,121.465422347035,25.1332248732954,地下式消防栓,台北市北投區一德里
14423,3461D,14,3461,47,297821.933,2780501.276,121.466038517895,25.1337208429682,地下式消防栓,台北市北投區一德里
14424,3461D,17,3461,720,297940.435,2780671.332,121.467219533722,25.1352523704395,地下式消防栓,台北市北投區一德里
14425,3461D,99,3461,1657,297890.594,2780540.422,121.466720766708,25.1340721015257,地上式消防栓,台北市北投區一德里
14426,3462B,6,3462,1263,298104.352,2780728.539,121.468847077418,25.1357636880938,地上式消防栓,台北市北投區一德里
14427,3462B,7,3462,34,298294.009,2780885.99,121.470733370404,25.1371791568236,地下式消防栓,台北市北投區一德里
14428,3462B,10,3462,597,298252.484,2780852.569,121.470320403224,25.1368787473714,地下式消防栓,台北市北投區一德里
14429,3462B,12,3462,50,298098.286,2780746.087,121.468787525169,25.1359222978068,地下式消防栓,台北市北投區一德里
14430,3462B,14,3462,901,298184.81,2780813.871,121.469647932359,25.136531519314,地下式消防栓,台北市北投區一德里
14431,3462B,17,3462,943,298188.953,2780797.081,121.469688439303,25.1363798127817,地下式消防栓,台北市北投區一德里
14432,3462B,19,3462,909,298020.771,2780746.456,121.468018814126,25.1359280589939,地下式消防栓,台北市北投區一德里
14433,3462B,20,3462,314,298214.515,2780898.527,121.469945446053,25.1372948403858,地下式消防栓,台北市北投區一德里
14434,3459A,1,3459,95,298099.001,2779455.659,121.468750155328,25.1242725730722,地下式消防栓,台北市北投區八仙里
14435,3459A,85,3459,116,298252.502,2779445.384,121.470271939855,25.1241749913167,地下式消防栓,台北市北投區八仙里
14436,3558A,1,3558,333,298821.639,2778669.885,121.475888468497,25.1171559417536,地下式消防栓,台北市北投區八仙里
14437,3558A,2,3558,191,299040.56,2778772.496,121.478062798183,25.1180753083541,地下式消防栓,台北市北投區八仙里
14438,3558C,1,3558,341,298785.15,2778596.996,121.475524113247,25.1164990761117,地下式消防栓,台北市北投區八仙里
14439,3558C,2,3558,65,298709.902,2778598.713,121.474778050142,25.116516967959,地下式消防栓,台北市北投區八仙里
14440,3558D,1,3558,229,298690.041,2778664.828,121.474583422753,25.1171144708153,地下式消防栓,台北市北投區八仙里
14441,3558D,2,3558,196,298689.116,2778751.423,121.474577269617,25.1178962616156,地下式消防栓,台北市北投區八仙里
14442,3559A,1,3559,37,298990.901,2779347.837,121.477590583994,25.1232709482894,地下式消防栓,台北市北投區八仙里
