序號,圖號,編號,DGNID,UFID,97X座標,97Y座標,WGS84經度,WGS84緯度,型式,所在地區
19342,4739A,2,4739,44,308535.672,2767292.446,121.571730909668,25.0141032409651,地下式消防栓,台北市南港區九如里
19343,4739A,4,4739,9,308618.534,2767323.839,121.572553148147,25.0143834913983,地下式消防栓,台北市南港區九如里
19344,4739A,95,4739,70,308698.929,2767361.611,121.573351216693,25.0147214196082,地下式消防栓,台北市南港區九如里
19345,4839D,1,4839,50,308806.436,2767380.662,121.574417107288,25.0148892972001,地下式消防栓,台北市南港區九如里
19346,4839D,2,4839,51,308965.318,2767465.404,121.575994749413,25.0156482395172,地下式消防栓,台北市南港區九如里
19347,4839D,3,4839,54,308900.387,2767423.908,121.575349716457,25.0152761136609,地下式消防栓,台北市南港區九如里
19348,4840B,1,4840,21,309413.465,2767728.058,121.580445796794,25.0180021519185,地下式消防栓,台北市南港區九如里
19349,4840B,2,4840,29,309229.847,2767594.275,121.578620954379,25.0168014815215,地下式消防栓,台北市南港區九如里
19350,4840B,3,4840,14,309285.827,2767644.987,121.579177714474,25.0172571380804,地下式消防栓,台北市南港區九如里
19351,4840C,1,4840,6,309046.381,2767522.092,121.576800251064,25.0161568924241,地下式消防栓,台北市南港區九如里
19352,4840C,2,4840,19,309172.496,2767559.296,121.578051280467,25.0164879093763,地下式消防栓,台北市南港區九如里
19353,4940A,1,4940,20,310069.205,2768030.208,121.586955456677,25.0207043815805,地下式消防栓,台北市南港區九如里
19354,4940A,2,4940,112,310161.088,2768060.283,121.587867092437,25.0209722942161,地下式消防栓,台北市南港區九如里
19355,4940C,1,4940,26,309605.385,2767796.137,121.58235012861,25.0186093174535,地下式消防栓,台北市南港區九如里
19356,4940D,1,4940,14,309811.733,2767979.659,121.584402358081,25.0202580868375,地下式消防栓,台北市南港區九如里
19357,4940D,2,4940,46,309980.22,2768008.269,121.586072885739,25.02050979983,地下式消防栓,台北市南港區九如里
19358,4940D,4,4940,156,309758.26,2767904.154,121.583869344986,25.0195785280838,地下式消防栓,台北市南港區九如里
19359,4940D,5,4940,98,309896.486,2767993.122,121.585242632997,25.0203763244638,地下式消防栓,台北市南港區九如里
19360,4940D,87,4940,158,309675.199,2767847.149,121.583043983694,25.0190671304651,地下式消防栓,台北市南港區九如里
19361,4941A,1,4941,16,310173.469,2768404.257,121.58800455202,25.0240771168334,地下式消防栓,台北市南港區九如里
19362,4941A,2,4941,56,310332.952,2768588.516,121.589592639852,25.0257342997342,地下式消防栓,台北市南港區九如里
19363,4941A,4,4941,3,310378.644,2768612.212,121.5900463803,25.0259464246227,地下式消防栓,台北市南港區九如里
19364,4941A,86,4941,83,310234.908,2768486.041,121.588616804629,25.0248130322426,地下式消防栓,台北市南港區九如里
19365,4941B,1,4941,21,310202.741,2768124.335,121.588282531583,25.0215489067256,地下式消防栓,台北市南港區九如里
