序號,圖號,編號,DGNID,UFID,97X座標,97Y座標,WGS84經度,WGS84緯度,型式,所在地區
1,4157A,1,4157,9938,303751.848,2778085.161,121.524751557167,25.111712243439,地下式消防栓,台北市士林區三玉里
2,4157A,2,4157,155,303677.434,2778094.776,121.524014108021,25.111801654213,地下式消防栓,台北市士林區三玉里
3,4157A,3,4157,10068,303884.325,2778208,121.526069819841,25.1128165460339,地下式消防栓,台北市士林區三玉里
4,4157A,6,4157,882,303925.349,2778204.78,121.526476454217,25.1127860331019,地下式消防栓,台北市士林區三玉里
5,4157A,7,4157,4167,303881.82,2778299.074,121.526048500958,25.1136388250609,地下式消防栓,台北市士林區三玉里
6,4157A,8,4157,5525,303718.374,2778262.619,121.524426495051,25.1133154599564,地下式消防栓,台北市士林區三玉里
7,4157A,9,4157,4190,303637.194,2778052.381,121.523613495552,25.1114203330363,地下式消防栓,台北市士林區三玉里
8,4157A,10,4157,10279,303841.629,2778214.519,121.525646734468,25.1128768990876,地下式消防栓,台北市士林區三玉里
9,4157A,13,4157,5628,303835.516,2778236.653,121.525586977522,25.1130769335987,地下式消防栓,台北市士林區三玉里
10,4157A,14,4157,7632,303857.609,2778126.473,121.525801778683,25.1120814822491,地下式消防栓,台北市士林區三玉里
11,4157A,15,4157,9699,303899.583,2778131.947,121.526218166017,25.1121294237012,地下式消防栓,台北市士林區三玉里
12,4157A,16,4157,7580,303903.769,2778119.315,121.526259182382,25.1120152381863,地下式消防栓,台北市士林區三玉里
13,4157A,20,4157,2395,303834.886,2778240.1,121.52558086402,25.1131080743066,地下式消防栓,台北市士林區三玉里
14,4157A,21,4157,4237,303877.16,2778237.492,121.525999917106,25.1130830437008,地下式消防栓,台北市士林區三玉里
15,4157A,25,4157,2502,303877.622,2778063.48,121.525997775996,25.1115120949798,地下式消防栓,台北市士林區三玉里
16,4157A,27,4157,4943,303889.719,2778174.929,121.526122024313,25.1125178004087,地下式消防栓,台北市士林區三玉里
17,4157A,28,4157,7171,303734.741,2778167.925,121.52458512872,25.1124600144017,地下式消防栓,台北市士林區三玉里
18,4157A,29,4157,1370,303794.424,2778133.085,121.525175548963,25.1121433937225,地下式消防栓,台北市士林區三玉里
19,4157A,30,4157,5308,303677.604,2778030.057,121.52401330308,25.1112173826775,地下式消防栓,台北市士林區三玉里
20,4157A,31,4157,2023,303948.5,2778147.267,121.526703774986,25.1122660064423,地下式消防栓,台北市士林區三玉里
21,4157A,32,4157,4247,303765.912,2778028.041,121.524888800791,25.1111960861036,地下式消防栓,台北市士林區三玉里
22,4157A,33,4157,831,303817.294,2778077.012,121.525400143571,25.11163637874,地下式消防栓,台北市士林區三玉里
23,4157A,34,4157,3449,303770.692,2778008.782,121.524935452156,25.1110220533249,地下式消防栓,台北市士林區三玉里
24,4157B,9,4157,7223,303665.9,2777973.421,121.52389507879,25.1107064982157,地下式消防栓,台北市士林區三玉里
