序號,圖號,編號,DGNID,UFID,97X座標,97Y座標,WGS84經度,WGS84緯度,型式,所在地區
2784,3847A,1,3847,8562,301335.055,2772228.081,121.500573762234,25.0589185955848,地下式消防栓,台北市大同區大有里
2785,3847A,4,3847,3468,301431.011,2772246.123,121.501525429943,25.0590782671212,地下式消防栓,台北市大同區大有里
2786,3847A,6,3847,6499,301521.404,2772206.264,121.50241983463,25.0587153990221,地下式消防栓,台北市大同區大有里
2787,3847A,10,3847,6070,301301.317,2772231.027,121.500239498158,25.0589463182143,地下式消防栓,台北市大同區大有里
2788,3847A,11,3847,5031,301467.436,2772182.191,121.501884082124,25.0584998806789,地下式消防栓,台北市大同區大有里
2789,3847A,18,3847,7475,301372.441,2772180.493,121.500942542557,25.0584877300385,地下式消防栓,台北市大同區大有里
2790,3847A,24,3847,7439,301433.91,2772181.581,121.501551789964,25.0584954961936,地下式消防栓,台北市大同區大有里
2791,3847A,30,3847,8011,301568.796,2772260.461,121.502891525143,25.0592030902433,地下式消防栓,台北市大同區大有里
2792,3847A,32,3847,6419,301561.513,2772186.248,121.502816610542,25.0585333527868,地下式消防栓,台北市大同區大有里
2793,3847A,36,3847,3348,301307.778,2772290.996,121.500305730208,25.0594874922381,地下式消防栓,台北市大同區大有里
2794,3847A,38,3847,9674,301520.363,2772276.729,121.502412111103,25.0593515795268,地下式消防栓,台北市大同區大有里
2795,3847A,41,3847,5156,301517.916,2772183.312,121.50238442093,25.0585083093406,地下式消防栓,台北市大同區大有里
2796,3847A,44,3847,3148,301348.602,2772180.098,121.500706264308,25.0584849607817,地下式消防栓,台北市大同區大有里
2797,3847A,45,3847,5569,301307.695,2772293.516,121.500304999972,25.0595102451311,地下式消防栓,台北市大同區大有里
2798,3847A,49,3847,4495,301295.039,2772186.4,121.500175642584,25.0585436429345,地下式消防栓,台北市大同區大有里
2799,3848B,7,3848,6591,301498.186,2772553.353,121.502202495854,25.0618496351998,地下式消防栓,台北市大同區大有里
2800,3848B,8,3848,5201,301331.768,2772575.311,121.500553919403,25.0620534369113,地下式消防栓,台北市大同區大有里
2801,3848B,12,3848,190,301387.367,2772571.867,121.501104839921,25.0620204866264,地下式消防栓,台北市大同區大有里
2802,3848B,13,3848,551,301307.647,2772439.034,121.500309858252,25.0608239578153,地下式消防栓,台北市大同區大有里
2803,3848B,14,3848,4143,301543.55,2772323.107,121.502643622452,25.0597694942895,地下式消防栓,台北市大同區大有里
2804,3848B,17,3848,2773,301398.042,2772313.391,121.501201149003,25.0596866539349,地下式消防栓,台北市大同區大有里
2805,3848B,18,3848,2937,301447.184,2772574.62,121.50169779288,25.0620433384794,地下式消防栓,台北市大同區大有里
2806,3848B,19,3848,101,301533.718,2772588.116,121.502555936296,25.0621622779378,地下式消防栓,台北市大同區大有里
2807,3848B,21,3848,5536,301324.386,2772384.947,121.500473775153,25.0603351108596,地下式消防栓,台北市大同區大有里
