序號,圖號,編號,DGNID,UFID,97X座標,97Y座標,WGS84經度,WGS84緯度,型式,所在地區
3802,4140A,3,4140,9398,303719.153,2768021.261,121.524040740044,25.0208586756393,地下式消防栓,台北市大安區大學里
3803,4140A,9,4140,6305,303744.801,2767918.611,121.524290918061,25.0199310719652,地下式消防栓,台北市大安區大學里
3804,4140A,10,4140,2272,303658.93,2767986.202,121.523442723528,25.0205442704618,地下式消防栓,台北市大安區大學里
3805,4140A,11,4140,8309,303667.718,2768076.632,121.523533255036,25.0213603515128,地下式消防栓,台北市大安區大學里
3806,4140A,12,4140,9195,303667.08,2768070.335,121.523526692762,25.0213035254629,地下式消防栓,台北市大安區大學里
3807,4140A,15,4140,1775,303761.317,2768062.383,121.524460067651,25.0212284454071,地下式消防栓,台北市大安區大學里
3808,4140A,16,4140,3962,303646.945,2767839.256,121.523318355648,25.0192180831839,地上式消防栓,台北市大安區大學里
3809,4140A,17,4140,6859,303627.274,2767864.907,121.523124444181,25.019450342216,地下式消防栓,台北市大安區大學里
3810,4140A,18,4140,925,303621.369,2768031.607,121.52307231641,25.0209554893198,地下式消防栓,台北市大安區大學里
3811,4140A,19,4140,6634,303601.754,2767969.851,121.522875614172,25.0203986495239,地下式消防栓,台北市大安區大學里
3812,4140A,20,4140,1150,303765.03,2767814.472,121.524487346054,25.0189902147583,地下式消防栓,台北市大安區大學里
3813,4140A,21,4140,21,303768.736,2767935.337,121.524528699841,25.0200812352084,地下式消防栓,台北市大安區大學里
3814,4140A,22,4140,2668,303685.809,2767801.291,121.523701951349,25.0188739853956,地下式消防栓,台北市大安區大學里
3815,4140A,23,4140,24,303815.603,2768058.19,121.524997760266,25.0211886934023,地下式消防栓,台北市大安區大學里
3816,4140A,24,4140,7219,303867.3,2768061.215,121.525510078695,25.0212141930574,地下式消防栓,台北市大安區大學里
3817,4140A,25,4140,7315,303654.562,2767942.926,121.523397790082,25.0201537339528,地下式消防栓,台北市大安區大學里
3818,4140A,26,4140,3186,303845.462,2767960.959,121.525289861176,25.0203098627268,地下式消防栓,台北市大安區大學里
3819,4140A,29,4140,4639,303758.686,2767819.054,121.524424667971,25.0190318020323,地下式消防栓,台北市大安區大學里
3820,4140A,30,4140,3521,303829.211,2767842.866,121.525124315963,25.0192443068309,地下式消防栓,台北市大安區大學里
3821,4140A,32,4140,8809,303678.954,2767802.632,121.523634086167,25.0188863309337,地下式消防栓,台北市大安區大學里
3822,4140A,33,4140,5311,303736.535,2767970.912,121.524211026273,25.0204035258182,地下式消防栓,台北市大安區大學里
3823,4140A,34,4140,9217,303800.712,2768013.697,121.524848515744,25.0207875386856,地下式消防栓,台北市大安區大學里
3824,4140B,12,4140,4381,303777.109,2767737.686,121.524604074195,25.0182965807025,地下式消防栓,台北市大安區大學里
3825,4140D,19,4140,12049,303537.168,2767956.735,121.522235213587,25.020282489362,地上式消防栓,台北市大安區大學里
3826,4140D,23,4140,5918,303529.975,2768043.589,121.522167264246,25.021066843925,地下式消防栓,台北市大安區大學里
