序號,圖號,編號,DGNID,UFID,97X座標,97Y座標,WGS84經度,WGS84緯度,型式,所在地區
12324,4534A,11,4534,9230,307138.612,2764468.178,121.557774919152,24.9886588472806,地下式消防栓,台北市文山區木柵里
12325,4534A,19,4534,1981,307135.226,2764462.061,121.557741131297,24.9886037497529,地下式消防栓,台北市文山區木柵里
12326,4534A,122,4534,14165,307003.037,2764481.349,121.556432568674,24.9887827800236,地下式消防栓,台北市文山區木柵里
12327,4535A,2,4535,5845,307157.992,2764887.412,121.557983964409,24.9924428993742,地下式消防栓,台北市文山區木柵里
12328,4535A,6,4535,9095,307161.634,2764852.355,121.558018611096,24.9921262756628,地下式消防栓,台北市文山區木柵里
12329,4535A,8,4535,3281,307188.589,2764802.91,121.558283594676,24.9916788933856,地下式消防栓,台北市文山區木柵里
12330,4535A,10,4535,113,307167.295,2764992.146,121.558080383739,24.9933880738253,地下式消防栓,台北市文山區木柵里
12331,4535A,11,4535,1280,307186.481,2764801.31,121.558262648954,24.991664527205,地下式消防栓,台北市文山區木柵里
12332,4535A,13,4535,3864,307178.324,2764967.067,121.558188608875,24.9931612552733,地下式消防栓,台北市文山區木柵里
12333,4535A,16,4535,3602,307122.825,2764896.154,121.557635976748,24.992523126461,地下式消防栓,台北市文山區木柵里
12334,4535A,18,4535,4945,307117.422,2764858.87,121.557580939343,24.9921867336039,地下式消防栓,台北市文山區木柵里
12335,4535A,19,4535,9342,307158.394,2764986.977,121.557992004296,24.9933417396736,地下式消防栓,台北市文山區木柵里
12336,4535A,20,4535,6695,307059.985,2764853.887,121.557011800436,24.9921438787566,地下式消防栓,台北市文山區木柵里
12337,4535A,21,4535,7944,307180.365,2764967.426,121.55820884058,24.9931644204189,地下式消防栓,台北市文山區木柵里
12338,4535A,22,4535,7986,307082.569,2764896.206,121.557237226203,24.9925250897266,地下式消防栓,台北市文山區木柵里
12339,4535A,28,4535,5326,307193.445,2764857.029,121.558333902021,24.9921672897206,地下式消防栓,台北市文山區木柵里
12340,4535A,30,4535,2174,307052.002,2764848.018,121.556932486953,24.9920911904283,地下式消防栓,台北市文山區木柵里
12341,4535A,31,4535,1115,307192.684,2764943.656,121.558329896708,24.9929493712478,地下式消防栓,台北市文山區木柵里
12342,4535A,114,4535,10597,307199.517,2764988.374,121.558399404578,24.9933528234253,地下式消防栓,台北市文山區木柵里
12343,4535A,117,4535,11349,307131.708,2764933.598,121.557725491949,24.9928608345288,地下式消防栓,台北市文山區木柵里
12344,4535A,118,4535,11970,307031.393,2764939.827,121.556732080097,24.9929207899976,地下式消防栓,台北市文山區木柵里
12345,4535A,119,4535,11775,307009.478,2764889.211,121.5565129446,24.992464649611,地下式消防栓,台北市文山區木柵里
12346,4535A,120,4535,11776,306967.02,2764861.508,121.556091255112,24.9922161240435,地下式消防栓,台北市文山區木柵里
12347,4535B,2,4535,3427,307022.271,2764713.627,121.556632526208,24.9908790336599,地下式消防栓,台北市文山區木柵里
12348,4535B,3,4535,1633,306932.654,2764710.211,121.55574470498,24.9908515124527,地下式消防栓,台北市文山區木柵里
12349,4535B,6,4535,6935,307145.683,2764664.744,121.557852966272,24.9904331487233,地下式消防栓,台北市文山區木柵里
12350,4535B,8,4535,2153,307089.521,2764550.636,121.557292023184,24.9894050857322,地下式消防栓,台北市文山區木柵里
12351,4535B,10,4535,9819,307087.779,2764610.944,121.557277222807,24.9899496006228,地下式消防栓,台北市文山區木柵里
12352,4535B,11,4535,6651,307101.983,2764518.196,121.557414140882,24.9891117606529,地下式消防栓,台北市文山區木柵里
12353,4535B,12,4535,11287,307047.963,2764780.677,121.556889740057,24.9914833973072,地上式消防栓,台北市文山區木柵里
12354,4535B,13,4535,8362,307102.617,2764793.731,121.557431637914,24.9915992195301,地下式消防栓,台北市文山區木柵里
12355,4535B,16,4535,4363,307035.18,2764755.919,121.556762113344,24.9912603601776,地下式消防栓,台北市文山區木柵里
12356,4535B,17,4535,7007,306937.011,2764648.442,121.555785355055,24.9902937112628,地下式消防栓,台北市文山區木柵里
12357,4535B,18,4535,6531,307055.057,2764662.117,121.556955185822,24.9904127951087,地下式消防栓,台北市文山區木柵里
12358,4535B,19,4535,6121,307175.178,2764630.115,121.558143710143,24.9901194286075,地下式消防栓,台北市文山區木柵里
12359,4535B,20,4535,8282,307187.717,2764629.135,121.558267871838,24.9901101154405,地下式消防栓,台北市文山區木柵里
12360,4535B,22,4535,515,307065.354,2764506.503,121.557050849506,24.9890075568008,地下式消防栓,台北市文山區木柵里
12361,4535B,23,4535,7006,306969.806,2764709.815,121.556112690242,24.9908465626119,地下式消防栓,台北市文山區木柵里
12362,4535B,24,4535,8418,307113.707,2764703.471,121.557537812801,24.9907839563944,地下式消防栓,台北市文山區木柵里
12363,4535B,25,4535,10004,307014.442,2764621.543,121.556551234747,24.990048005159,地下式消防栓,台北市文山區木柵里
12364,4535B,26,4535,2841,306964.514,2764634.259,121.55605720305,24.9901646518337,地下式消防栓,台北市文山區木柵里
12365,4535B,27,4535,210,306969.328,2764647.511,121.556105425065,24.9902841104426,地下式消防栓,台北市文山區木柵里
12366,4535B,31,4535,1434,307172.929,2764738.395,121.558125846985,24.9910970451521,地下式消防栓,台北市文山區木柵里
12367,4535B,33,4535,11309,307069.372,2764793.785,121.557102336815,24.9916009402696,地上式消防栓,台北市文山區木柵里
12368,4535B,36,4535,9972,307033.439,2764686.646,121.556742051417,24.9906350399961,地下式消防栓,台北市文山區木柵里
12369,4535B,38,4535,7575,306998.606,2764788.261,121.556401150394,24.9915536932183,地下式消防栓,台北市文山區木柵里
12370,4535B,39,4535,5290,307028.712,2764560.56,121.556690102994,24.9894969323451,地下式消防栓,台北市文山區木柵里
12371,4535B,40,4535,3612,306999.059,2764785.889,121.556405541122,24.9915322624334,地下式消防栓,台北市文山區木柵里
12372,4535B,46,4535,1056,306888.635,2764669.867,121.555307047764,24.9904889214297,地下式消防栓,台北市文山區木柵里
12373,4535B,47,4535,7827,307139.861,2764701.041,121.557796776551,24.990761047916,地下式消防栓,台北市文山區木柵里
12374,4535B,48,4535,7975,307071.698,2764611.335,121.557117952937,24.9899537269239,地下式消防栓,台北市文山區木柵里
12375,4535B,49,4535,8465,307031.363,2764686.072,121.556721464735,24.9906299349561,地下式消防栓,台北市文山區木柵里
12376,4535B,51,4535,1693,307112.1,2764506.257,121.557513865177,24.989003602013,地下式消防栓,台北市文山區木柵里
12377,4535B,52,4535,8611,306973.776,2764671.951,121.556150476282,24.9905045859342,地下式消防栓,台北市文山區木柵里
12378,4535B,134,4535,10189,307101.251,2764735.715,121.557415745282,24.991075511856,地下式消防栓,台北市文山區木柵里
12379,4535B,138,4535,11383,306977.263,2764748.616,121.556188130132,24.991196575324,地上式消防栓,台北市文山區木柵里
12380,4535B,140,4535,11648,306995.181,2764566.119,121.556358198242,24.9895483601424,地下式消防栓,台北市文山區木柵里
12381,4535B,141,4535,11651,307086.14,2764553.47,121.557258649131,24.98943079601,地下式消防栓,台北市文山區木柵里
12382,4634D,15,4634,1135,307355.636,2764446.613,121.559923683835,24.988456089649,地下式消防栓,台北市文山區木柵里
12383,4634D,21,4634,999,307327.086,2764474.296,121.559642024836,24.9887070706872,地下式消防栓,台北市文山區木柵里
12384,4634D,116,4634,6418,307376.4,2764446.375,121.560129343419,24.9884531670542,地下式消防栓,台北市文山區木柵里
12385,4635A,9,4635,13073,307636.597,2764924.47,121.562726266159,24.992759599233,地上式消防栓,台北市文山區木柵里
12386,4635C,6,4635,7245,307527.515,2764781.162,121.561639882991,24.9914699229339,地下式消防栓,台北市文山區木柵里
12387,4635C,7,4635,4611,307345.627,2764592.824,121.5598305214,24.9897764299697,地下式消防栓,台北市文山區木柵里
12388,4635C,8,4635,3434,307391.726,2764659.836,121.56028988315,24.9903796839494,地下式消防栓,台北市文山區木柵里
