序號,圖號,編號,DGNID,UFID,97X座標,97Y座標,WGS84經度,WGS84緯度,型式,所在地區
28314,3326B,1,3326,8,297597.018,2759223.287,121.463086301283,24.941632244093,地下式消防栓,新北市新店
28315,3326B,2,3326,1,297452.768,2759150.194,121.461655551541,24.9409767904263,地下式消防栓,新北市新店
28316,3326B,3,3326,3,297471.731,2759159.006,121.461843609192,24.9410557635883,地下式消防栓,新北市新店
28317,3326B,4,3326,12,297528.211,2759182.8,121.462403644841,24.9412688421585,地下式消防栓,新北市新店
28318,3426A,3,3426,426,298107.444,2759664.907,121.468155346638,24.9456034034048,地下式消防栓,新北市新店
28319,3426A,4,3426,689,298068.23,2759690.521,121.4677679305,24.9458358662723,地下式消防栓,新北市新店
28320,3426A,5,3426,568,298184.628,2759560.052,121.468916023983,24.944654368449,地下式消防栓,新北市新店
28321,3426A,87,3426,1158,298107.304,2759693.444,121.468154934109,24.9458610400339,地上式消防栓,新北市新店
28322,3426C,1,3426,758,297724.757,2759338.596,121.464355010135,24.9426693200356,地下式消防栓,新北市新店
28323,3426C,2,3426,893,297655.331,2759270.758,121.463665291089,24.9420590178383,地下式消防栓,新北市新店
28324,3426C,3,3426,541,297780.381,2759371.994,121.464906906907,24.9429691204613,地下式消防栓,新北市新店
28325,3426D,1,3426,135,297937.341,2759508.537,121.466465703478,24.9441969756605,地下式消防栓,新北市新店
28326,3426D,2,3426,334,297855.776,2759435.409,121.465655589947,24.9435393010882,地下式消防栓,新北市新店
28327,3427B,1,3427,144,298326.435,2759850.895,121.470330128294,24.9472756753068,地下式消防栓,新北市新店
28328,3427B,2,3427,44,298076.113,2759739.242,121.467847647943,24.946275474805,地下式消防栓,新北市新店
28329,3427B,3,3427,93,298262.035,2759810.185,121.469691049864,24.9469101568007,地下式消防栓,新北市新店
28330,3427B,4,3427,105,298368.671,2759885.143,121.470749521597,24.9475835456067,地下式消防栓,新北市新店
28331,3427B,5,3427,45,298341.423,2759714.972,121.47047387742,24.9460480933453,地下式消防栓,新北市新店
28332,3427B,7,3427,42,298131.84,2759718.729,121.468398748521,24.9460885496848,地下式消防栓,新北市新店
28333,3427B,8,3427,27,298133.488,2759706.776,121.468414658673,24.9459805866116,地下式消防栓,新北市新店
28334,3526A,1,3526,871,298885.191,2759635.956,121.475855436811,24.9453176389682,地下式消防栓,新北市新店
28335,3526D,1,3526,307,298652.838,2759694.566,121.473556752998,24.9458540997316,地下式消防栓,新北市新店
28336,3526D,2,3526,582,298632.073,2759682.009,121.473350708534,24.9457413884373,地下式消防栓,新北市新店
28337,3526D,3,3526,154,298708.348,2759688.17,121.474106181848,24.9457946087598,地下式消防栓,新北市新店
28338,3527A,2,3527,725,298932.232,2760299.039,121.476344249304,24.9513024604168,地下式消防栓,新北市新店
28339,3527A,3,3527,1610,298823.7,2760234.28,121.475267294517,24.9507212490094,地下式消防栓,新北市新店
28340,3527A,4,3527,351,298912.953,2760233.428,121.476151066306,24.9507107351414,地下式消防栓,新北市新店
28341,3527A,6,3527,359,298976.678,2760234.613,121.476782125288,24.9507194152341,地下式消防栓,新北市新店
28342,3527B,1,3527,1843,298887.088,2759764.394,121.475878675279,24.9464771169956,地下式消防栓,新北市新店
28343,3527B,2,3527,1256,298884.852,2759757.375,121.475856291265,24.9464138201923,地下式消防栓,新北市新店
28344,3527B,4,3527,790,298926.757,2759936.369,121.476277442533,24.9480284515593,地下式消防栓,新北市新店
28345,3527B,5,3527,1262,298893.624,2759887.442,121.475947662561,24.9475877872075,地下式消防栓,新北市新店
28346,3527B,6,3527,1630,298944.401,2759869.031,121.476449814598,24.9474199658431,地下式消防栓,新北市新店
28347,3527C,1,3527,244,298674.943,2759757.975,121.473777822301,24.9464258604243,地下式消防栓,新北市新店
28348,3527C,2,3527,59,298460.872,2759738.453,121.471657449098,24.9462563406501,地下式消防栓,新北市新店
