序號,圖號,編號,DGNID,UFID,97X座標,97Y座標,WGS84經度,WGS84緯度,型式,所在地區
16514,4547A,8,4547,6008,306852.902,2772240.928,121.555260522083,25.0588401821988,地下式消防栓,台北市松山區三民里
16515,4547A,20,4547,7135,306802.161,2772285.384,121.554759447523,25.0592433990672,地下式消防栓,台北市松山區三民里
16516,4547A,23,4547,4923,306806.195,2772251.779,121.554798061728,25.0589398722718,地下式消防栓,台北市松山區三民里
16517,4547D,6,4547,8705,306703.47,2772241.967,121.553779580906,25.058855091782,地下式消防栓,台北市松山區三民里
16518,4547D,7,4547,2154,306672.822,2772281.837,121.553477452806,25.0592161604553,地下式消防栓,台北市松山區三民里
16519,4547D,15,4547,11488,306671.137,2772252.755,121.553459573936,25.0589536776878,地下式消防栓,台北市松山區三民里
16520,4547D,25,4547,1704,306793.593,2772221.884,121.554671951545,25.0586704542748,地下式消防栓,台北市松山區三民里
16521,4547D,27,4547,9296,306709.024,2772213.678,121.553833477425,25.0585995005247,地下式消防栓,台北市松山區三民里
16522,4548A,2,4548,9198,306800.416,2772742.765,121.554760743986,25.0633725825011,地下式消防栓,台北市松山區三民里
16523,4548A,29,4548,10314,306812.342,2772648.121,121.554875095869,25.0625177192173,地下式消防栓,台北市松山區三民里
16524,4548A,46,4548,10224,306803.74,2772787.593,121.554795510947,25.0637771550236,地下式消防栓,台北市松山區三民里
16525,4548B,3,4548,7944,306803.286,2772533.801,121.554780694357,25.0614860029144,地下式消防栓,台北市松山區三民里
16526,4548B,9,4548,6775,306831.804,2772333.421,121.555055186267,25.0596759671951,地下式消防栓,台北市松山區三民里
16527,4548B,11,4548,848,306832.707,2772372.894,121.555065740961,25.0600322859581,地下式消防栓,台北市松山區三民里
16528,4548B,17,4548,4090,306820.481,2772473.22,121.554948650109,25.06093845637,地下式消防栓,台北市松山區三民里
16529,4548C,4,4548,2238,306679.946,2772579.494,121.553560129311,25.0619030694854,地下式消防栓,台北市松山區三民里
16530,4548C,9,4548,9978,306681.982,2772496.168,121.553576928349,25.0611507482934,地下式消防栓,台北市松山區三民里
16531,4548C,12,4548,4078,306668.62,2772410.557,121.553441026929,25.060378367431,地下式消防栓,台北市松山區三民里
16532,4548C,14,4548,5168,306743.206,2772429.821,121.554181021659,25.0605495212471,地下式消防栓,台北市松山區三民里
16533,4548C,17,4548,9257,306708.373,2772524.956,121.553839656105,25.0614096637892,地下式消防栓,台北市松山區三民里
16534,4548C,19,4548,3788,306731.536,2772311.969,121.554060577581,25.0594860147536,地下式消防栓,台北市松山區三民里
16535,4548C,29,4548,2340,306663.556,2772389.514,121.553389985072,25.0601885835636,地下式消防栓,台北市松山區三民里
16536,4548C,30,4548,11015,306650.369,2772529.752,121.553264975253,25.0614551037669,地下式消防栓,台北市松山區三民里
16537,4548C,31,4548,8298,306753.865,2772585.71,121.554292992821,25.0619564531795,地下式消防栓,台北市松山區三民里
16538,4548C,37,4548,9542,306693.343,2772391.224,121.553685269249,25.0602029206376,地下式消防栓,台北市松山區三民里
16539,4548D,2,4548,7191,306775.687,2772693.712,121.554513658889,25.0629306600898,地下式消防栓,台北市松山區三民里
16540,4548D,4,4548,5678,306623.662,2772715.027,121.553007790486,25.0631287053304,地下式消防栓,台北市松山區三民里
16541,4548D,6,4548,20105,306554.93,2772799.338,121.552329993132,25.0638923789294,地上式消防栓,台北市松山區三民里
16542,4548D,11,4548,8450,306690.112,2772685.755,121.55366519536,25.0628619910667,地下式消防栓,台北市松山區三民里
16543,4548D,14,4548,1214,306722.1,2772639.461,121.553980351661,25.0624428782712,地下式消防栓,台北市松山區三民里
16544,4548D,18,4548,20098,306797.832,2772825.984,121.554738516484,25.0641239578048,地上式消防栓,台北市松山區三民里
16545,4548D,20,4548,6725,306716.596,2772729.559,121.553929458244,25.0632564634388,地下式消防栓,台北市松山區三民里
16546,4548D,102,4548,20110,306675.713,2772819.419,121.55352790723,25.0640692074388,地上式消防栓,台北市松山區三民里
16547,4346A,4,4346,3566,305361.018,2771569.764,121.540448240896,25.0528356112093,地下式消防栓,台北市松山區中正里
16548,4346A,11,4346,323,305357.374,2771431.994,121.540406674997,25.0515919857088,地上式消防栓,台北市松山區中正里
16549,4346A,14,4346,7179,305303.409,2771605.058,121.539878714474,25.0531563137497,地下式消防栓,台北市松山區中正里
16550,4346A,15,4346,3143,305241.903,2771491.774,121.539264696147,25.0521358251074,地下式消防栓,台北市松山區中正里
16551,4346A,18,4346,6152,305307.056,2771497.501,121.53991060423,25.0521851817058,地下式消防栓,台北市松山區中正里
16552,4346A,24,4346,2113,305243.212,2771544.259,121.539279741619,25.0526096009863,地下式消防栓,台北市松山區中正里
16553,4346A,28,4346,1853,305305.268,2771536.043,121.539894408729,25.05253319473,地下式消防栓,台北市松山區中正里
16554,4346A,31,4346,5958,305323.401,2771641.876,121.540078297945,25.0534879781725,地下式消防栓,台北市松山區中正里
16555,4346A,32,4346,3392,305219.77,2771695.12,121.539053381152,25.0539723838748,地下式消防栓,台北市松山區中正里
16556,4346A,33,4346,5035,305362.181,2771674.547,121.540463914379,25.0537815267234,地下式消防栓,台北市松山區中正里
16557,4346A,35,4346,1676,305217.498,2771606.341,121.539027359732,25.0531709885047,地下式消防栓,台北市松山區中正里
16558,4346A,122,4346,20502,305359.614,2771513.043,121.540432081751,25.0523235973,地上式消防栓,台北市松山區中正里
16559,4346A,124,4346,20633,305247.603,2771648.887,121.539327390564,25.0535540013438,地下式消防栓,台北市松山區中正里
16560,4346B,3,4346,5531,305234.502,2771279.181,121.539182955692,25.0502168484261,地下式消防栓,台北市松山區中正里
16561,4346B,6,4346,4035,305223.062,2771372.932,121.539073285463,25.0510636234074,地下式消防栓,台北市松山區中正里
16562,4346B,16,4346,2381,305237.855,2771379.308,121.539220138112,25.0511206524492,地下式消防栓,台北市松山區中正里
16563,4346B,21,4346,1282,305355.029,2771268.875,121.540376980259,25.0501194679532,地上式消防栓,台北市松山區中正里
16564,4346B,107,4346,20631,305357.505,2771357.094,121.54040500891,25.0509158003704,地上式消防栓,台北市松山區中正里
16565,4346C,2,4346,7056,305116.425,2771231.235,121.53801091367,25.0497882449462,地下式消防栓,台北市松山區中正里
16566,4346C,3,4346,6200,304958.048,2771363.563,121.536446587956,25.0509885498254,地下式消防栓,台北市松山區中正里
16567,4346C,6,4346,20541,304904.244,2771315.249,121.535911486074,25.0505543059933,地上式消防栓,台北市松山區中正里
16568,4346C,8,4346,5681,305148.733,2771389.71,121.538337335273,25.051217762868,地下式消防栓,台北市松山區中正里
16569,4346C,17,4346,5880,305163.717,2771289.592,121.538481880986,25.0503133811604,地下式消防栓,台北市松山區中正里
16570,4346C,19,4346,4261,305190.943,2771338.516,121.538753623414,25.0507540780655,地下式消防栓,台北市松山區中正里
16571,4346C,22,4346,7216,305112.609,2771361.126,121.537978214294,25.0509610097,地下式消防栓,台北市松山區中正里
16572,4346C,23,4346,6532,305111.829,2771269.197,121.537966862631,25.0501311226244,地下式消防栓,台北市松山區中正里
16573,4346C,29,4346,1644,305035.589,2771393.596,121.537216212375,25.051256904175,地下式消防栓,台北市松山區中正里
16574,4346C,33,4346,2298,304955.547,2771255.076,121.536417540897,25.0500092419726,地下式消防栓,台北市松山區中正里
16575,4346C,34,4346,347,305180.039,2771259.688,121.538642453907,25.0500428279207,地下式消防栓,台北市松山區中正里
16576,4346C,35,4346,5162,305014.246,2771237.416,121.536998557616,25.0498477095806,地下式消防栓,台北市松山區中正里
16577,4346C,36,4346,5827,305175.698,2771389.401,121.538604550666,25.0512140045939,地下式消防栓,台北市松山區中正里
