序號,圖號,編號,DGNID,UFID,97X座標,97Y座標,WGS84經度,WGS84緯度,型式,所在地區
28123,5244A,3,5244,933,312743.057,2770442.971,121.613555227422,25.0423791040302,地下式消防栓,新北市汐止
28124,5244A,9,5244,676,312660.596,2770492.398,121.612740311802,25.042828686892,地下式消防栓,新北市汐止
28125,5245A,1,5245,3233,312407.467,2771063.987,121.610257503007,25.0479991296327,地下式消防栓,新北市汐止
28126,5245A,2,5245,3882,312532.066,2770809.39,121.611480852397,25.0456956343842,地下式消防栓,新北市汐止
28127,5245A,3,5245,1296,312574.496,2770871.573,121.611904102352,25.0462552709095,地下式消防栓,新北市汐止
28128,5245A,5,5245,6831,312643.244,2770987.268,121.612590559436,25.0472969195522,地下式消防栓,新北市汐止
28129,5245A,6,5245,3535,312567.921,2770843.696,121.611837697658,25.046003874867,地下式消防栓,新北市汐止
28130,5245A,7,5245,2570,312713.935,2770824.449,121.613283776039,25.0458241533692,地下式消防栓,新北市汐止
28131,5245A,8,5245,149,312768.105,2770860.593,121.613822203458,25.046148232515,地下式消防栓,新北市汐止
28132,5245A,9,5245,30,312618.02,2770842.784,121.612334118661,25.0459935962357,地下式消防栓,新北市汐止
28133,5245A,11,5245,159,312756.486,2770916.865,121.613709592118,25.0466567131031,地下式消防栓,新北市汐止
28134,5245A,12,5245,687,312750.52,2770887.134,121.613649135198,25.0463885557319,地下式消防栓,新北市汐止
28135,5245A,687,5245,306,312592.139,2771016.958,121.612085453836,25.0475670384746,地下式消防栓,新北市汐止
28136,5245B,2,5245,1819,312775.699,2770509.111,121.613881659873,25.0429748582038,地下式消防栓,新北市汐止
28137,5245B,10,5245,8567,312603.987,2770666.543,121.612187157597,25.0444031234399,地下式消防栓,新北市汐止
28138,5245B,11,5245,3309,312574.182,2770698.316,121.611893228681,25.0446911763807,地下式消防栓,新北市汐止
28139,5245B,12,5245,8254,312759.182,2770728.527,121.613727845462,25.044956349734,地下式消防栓,新北市汐止
28140,5245B,13,5245,5761,312552.356,2770770.862,121.611680192561,25.0453469885415,地下式消防栓,新北市汐止
28141,5245B,19,5245,3984,312605.001,2770609.72,121.612194659015,25.0438901025743,地下式消防栓,新北市汐止
28142,5245B,20,5245,6246,312631.68,2770610.311,121.612459059638,25.0438943483603,地下式消防栓,新北市汐止
28143,5245B,22,5245,2406,312742.9,2770560.562,121.613558953493,25.0434406834562,地下式消防栓,新北市汐止
28144,5245B,23,5245,7764,312723.73,2770593.788,121.61337048214,25.0437414212177,地下式消防栓,新北市汐止
28145,5245B,24,5245,550,312734.944,2770505.458,121.613477639415,25.0429435481691,地下式消防栓,新北市汐止
28146,5245B,25,5245,6540,312659.509,2770779.938,121.612742439208,25.045424548148,地下式消防栓,新北市汐止
28147,5245B,28,5245,888,312642.565,2770573.701,121.612565282145,25.0435634005786,地下式消防栓,新北市汐止
28148,5245B,29,5245,8693,312517.728,2770784.856,121.611337670504,25.0454747341882,地下式消防栓,新北市汐止
28149,5245B,111,5245,9012,312580.247,2770730.261,121.611954761121,25.0449793178421,地下式消防栓,新北市汐止
28150,5245B,113,5245,9015,312690.183,2770703.981,121.613042996068,25.04473757943,地下式消防栓,新北市汐止
28151,5245B,114,5245,9016,312630.646,2770715.159,121.612453514557,25.0448409239814,地下式消防栓,新北市汐止
28152,5245B,115,5245,9119,312597.033,2770647.288,121.612117384113,25.0442295795235,地下式消防栓,新北市汐止
28153,5245B,116,5245,9207,312517.623,2770766.931,121.611335827684,25.0453129174327,地下式消防栓,新北市汐止
28154,5245D,13,5245,2524,312366.832,2771014.442,121.609852606581,25.0475535072289,地下式消防栓,新北市汐止
28155,5245D,29,5245,1787,312361.659,2771053.501,121.609803087528,25.0479063295257,地下式消防栓,新北市汐止
28156,5245D,41,5245,1035,312368.767,2770991.365,121.609870751401,25.0473450969043,地下式消防栓,新北市汐止
28157,5245D,43,5245,1643,312385.513,2771079.14,121.610040620564,25.0481368194912,地下式消防栓,新北市汐止
