序號,圖號,編號,DGNID,UFID,97X座標,97Y座標,WGS84經度,WGS84緯度,型式,所在地區
20604,3843D,6,3843,69,301077.017,2769882.01,121.497930838688,25.0377472327229,地下式消防栓,台北市萬華區仁德里
20605,3843D,31,3843,1421,301028.856,2769894.247,121.497454049847,25.0378593049161,地下式消防栓,台北市萬華區仁德里
20606,3844C,1,3844,3505,300962.638,2770146.458,121.496807056637,25.0401384245962,地下式消防栓,台北市萬華區仁德里
20607,3844C,4,3844,10942,300885.505,2770080.166,121.496040312502,25.0395425034716,地下式消防栓,台北市萬華區仁德里
20608,3844C,5,3844,10157,301098.142,2770014.594,121.498145003463,25.0389434802971,地下式消防栓,台北市萬華區仁德里
20609,3844C,7,3844,5967,300930.623,2770158.25,121.49649023768,25.0402459414057,地下式消防栓,台北市萬華區仁德里
20610,3844C,9,3844,9937,301157.6,2770164.747,121.498739668607,25.0402970631802,地下式消防栓,台北市萬華區仁德里
20611,3844C,10,3844,10850,301036.068,2770102.279,121.497533090443,25.0397371484644,地下式消防栓,台北市萬華區仁德里
20612,3844C,12,3844,22604,300992.894,2770064.547,121.497103893111,25.0393979412825,地上式消防栓,台北市萬華區仁德里
20613,3844C,13,3844,6211,301093.642,2770043.051,121.498101449381,25.0392005354204,地下式消防栓,台北市萬華區仁德里
20614,3844C,17,3844,12499,301049.918,2770037.852,121.497667987405,25.0391550513057,地下式消防栓,台北市萬華區仁德里
20615,3844C,18,3844,5961,301023.439,2769971.549,121.497403186213,25.0385573559347,地下式消防栓,台北市萬華區仁德里
20616,3844C,20,3844,4982,300924.591,2770188.967,121.496431580703,25.0405234497299,地下式消防栓,台北市萬華區仁德里
20617,3844C,25,3844,9909,301047.936,2769991.615,121.497646663058,25.038737696151,地下式消防栓,台北市萬華區仁德里
20618,3844C,27,3844,3934,300866.173,2769978.335,121.49584505023,25.0386238270962,地下式消防栓,台北市萬華區仁德里
20619,3844C,28,3844,22611,300982.741,2770049.083,121.497002721635,25.0392586710613,地上式消防栓,台北市萬華區仁德里
20620,3844C,29,3844,9971,300975.027,2770031.881,121.496925655853,25.0391036295315,地下式消防栓,台北市萬華區仁德里
20621,3844C,32,3844,11620,300935.4,2770098.748,121.496535411999,25.039708607791,地下式消防栓,台北市萬華區仁德里
20622,3844C,33,3844,2154,300854.776,2770137.435,121.49573788795,25.0400605359574,地下式消防栓,台北市萬華區仁德里
20623,3844C,34,3844,8131,300914.408,2769973.048,121.49632282933,25.0385745011681,地下式消防栓,台北市萬華區仁德里
20624,3844C,35,3844,9893,300951.108,2770118.529,121.496691786535,25.0398866675886,地下式消防栓,台北市萬華區仁德里
20625,3844C,36,3844,1059,300947.17,2769932.795,121.496646011764,25.0382100181756,地下式消防栓,台北市萬華區仁德里
20626,3844C,39,3844,446,301144.142,2770112.934,121.498604417554,25.0398297506213,地下式消防栓,台北市萬華區仁德里
20627,3844C,43,3844,11343,301002.718,2770159.693,121.497204704632,25.0402565798323,地下式消防栓,台北市萬華區仁德里
20628,3844C,44,3844,6163,300829.198,2769994.534,121.495479244315,25.0387712914895,地下式消防栓,台北市萬華區仁德里
20629,3844C,47,3844,22618,301013.54,2769937.578,121.497303858409,25.0382509989385,地上式消防栓,台北市萬華區仁德里
